"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","225","","Hororata","Road","","","Hororata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St Johns Anglican Church","","","","","","","","","","EPB notice","31/01/2020","Not determined","31/01/2039","No","Selwyn District Council","","High"
"","","","80","","West Coast Road","","","","Arthurs Pass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arthur's Pass Visitors Centre","","","","","","","","","","EPB notice","31/01/2020","0% to less than 20%","31/01/2039","No","Selwyn District Council","","High"
"","","","6","","Leeston and Lake","Road","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","McLachlan Building","","","","","","","","","","EPB notice","31/01/2020","Not determined","31/01/2039","No","Selwyn District Council","","High"
"","","","1981","","Telegraph","Road","","","Darfield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St. Josephs Catholic Church","","","","","","","","","","EPB notice","31/01/2020","Not determined","31/01/2039","No","Selwyn District Council","","High"
"","","","","","Wairiri Road","","","","Glentunnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GLENTUNNEL S17-03 MAGAZINE N03 BUILDING COMPLEX","","","","","","","","","","EPB notice","10/01/2020","20% to less than 34%","10/01/2039","No","Selwyn District Council","","High"
"","","","59","","High","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leeston Library and Medical Centre","","","","","","","","","","EPB notice","30/09/2019","0% to less than 20%","30/09/2038","No","Selwyn District Council","","High"
"","","","10","","Railway","Terrace","East","","Sheffield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sheffield Fire Station","","","","","","","","","","EPB notice","30/08/2019","0% to less than 20%","28/02/2031","Yes","Selwyn District Council","","High"
"","","","33","","Station","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leeston Fire Brigade","","","","","","","","","","EPB notice","30/08/2019","0% to less than 20%","28/02/2031","Yes","Selwyn District Council","","High"
"","","","105","","High","Street","","","Southbridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Southbridge Furniture Shop","","","","","","","","","","EPB notice","08/11/2019","0% to less than 20%","08/11/2038","No","Selwyn District Council","","High"
"","","","2","","St John","Street","","","Southbridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Southbridge Fire Brigade - old building","","","","","","","","","","EPB notice","20/02/2020","Not determined","20/02/2039","No","Selwyn District Council","","High"
"","","","86","","High","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canterbury Canvas and Upholstery - formerly Clausens Saddlery","","","","","","","","","","EPB notice","31/01/2020","Not determined","31/01/2039","No","Selwyn District Council","","High"
"","","","","","High ","Street","","","Southbridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St James Anglican Church","","","","","","","","","","EPB notice","31/01/2020","0% to less than 20%","31/01/2039","No","Selwyn District Council","","High"
"","","","","","Main South","Road","","","Burnham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Building E04 - Hospital Boiler Plant","","","","","","","","","","EPB notice","10/01/2020","0% to less than 20%","10/01/2039","No","Selwyn District Council","","High"
"","","","","","Main South ","Road","","","Burnham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Building D24 - Regimental History Centre","","","","","","","","","","EPB notice","10/01/2020","20% to less than 34%","10/01/2039","No","Selwyn District Council","","High"
"","","","12","","Irvines","Road","","","Dunsandel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dunsandel School Pool Changing Rooms","","","","","","","","","","EPB notice","05/05/2020","0% to less than 20%","05/05/2039","Yes","Selwyn District Council","","High"
"","","","122","","High ","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leeston Rugby Football Clubrooms","","","","","","","","","","EPB notice","22/12/2020","0% to less than 20%","22/12/2039","No","Selwyn District Council","","High"
"","","","1365","","Springs","Road","","","Lincoln","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AgResearch (formerly Canesis building complex)","Block A, Block B, Block G, and Block I","","","","","","","","","EPB notice","05/03/2020","Not determined","05/03/2039","No","Selwyn District Council","","High"
"","","","122","","High","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leeston Rifle Range","","","","","","","","","","EPB notice","28/06/2021","0% to less than 20%","28/06/2040","Yes","Selwyn District Council","","High"
"","","","44","","RAILWAY TERRACE EAST","","","","SHEFFIELD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ST AMBROSE ANGLICAN CHURCH","","","","","","","","","","EPB notice","22/11/2021","Not determined","31/08/2039","No","Selwyn District Council","","High"
"","","","1","","James","Street","","","Lincoln","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lincoln Fire Station","","","","","","","","","","EPB notice","06/06/2023","0% to less than 20%","06/12/2034","Yes","Selwyn District Council","","High"
"","","","40","","High","Street","","","Kirwee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kirwee Pavilion","","","","","","","","","","EPB notice","12/04/2021","Not determined","12/04/2040","No","Selwyn District Council","","High"
"","","","6","","Chaucer","Street","","","Rolleston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rolleston Fire Station","","","","","","","","","","EPB notice","07/08/2023","20% to less than 34%","07/02/2035","Yes","Selwyn District Council","","High"
